,Unnamed: 0,CITY,COUNTY,COUNTY_FIPS,END_USE,FACILITY_ID,FINAL_NAICS_CODE,MECS_NAICS,REPORTING_YEAR,STATE,Temp_degC,UNIT_NAME,UNIT_TYPE,Lat,Lon,LLType,geometry,FacilityName,Demand 300,Demand 550,Demand 850,Emissions 300,Emissions 550,Emissions 850,Count300,Count550,Count850,Temp 300,Temp 550,Temp 850,Industry,Company
14,32957,PORT NECHES,JEFFERSON,48245,CHP and/or Cogeneration Process,1002884,325199,325199,2015,TX,260,Bundle Furnace,OCS (Other combustion source),29.964146,-93.930138,Facility,POINT (-10456255.13230192 3498941.978142805),TPC GROUP,3573.5442902000004,3573.5442902000004,3573.5442902000004,0.179903334,0.179903334,0.179903334,4,4,4,220.00000000000003,220.00000000000003,220.00000000000003,Other Basic Organic Chemicals,TPC Group LLC
15,32958,LIMA,ALLEN,39003,CHP and/or Cogeneration Process,1004504,325199,325199,2015,OH,260,N006 Scrubber Off Gas Boiler,"OB (Boiler, other)",40.718333,-84.116389,Facility,POINT (-9363793.590848919 4970884.198628687),ISP LIMA LLC,190.49888527,190.49888527,190.49888527,0.009590307,0.009590307,0.009590307,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,ASHLAND INC
16,32959,WESTLAKE,CALCASIEU,22019,CHP and/or Cogeneration Process,1005823,325199,325199,2015,LA,260,CP-Natural Gas,OCS (Other combustion source),30.241902,-93.274446,Facility,POINT (-10383263.83274469 3534682.141577986),Sasol Chemicals (USA) LLC - LAKE CHARLES CHEMICAL COMPLEX,749.7670064199999,749.7670064199999,749.7670064199999,0.037691768,0.037691768,0.037691768,6,6,6,220.00000000000003,220.00000000000003,220.00000000000003,Other Basic Organic Chemicals,SASOL CHEMICALS (USA) LLC
17,32960,ALVIN,Brazoria,48039,CHP and/or Cogeneration Process,1002190,325199,325199,2015,TX,260,CP-1,OCS (Other combustion source),29.2567,-95.2144,Facility,POINT (-10599218.52418707 3408358.93970151),ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU FACILITY,126.81687626000002,126.81687626000002,126.81687626000002,0.006384356,0.006384356,0.006384356,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,"Ascend Performance Materials Texas, Inc."
18,32963,MIDLAND,Midland,26111,CHP and/or Cogeneration Process,1001826,325199,325199,2015,MI,260,GP-NATURAL GAS EQUIPMENT,OCS (Other combustion source),43.6025,-84.2404,Facility,POINT (-9377598.432221683 5404132.798796477),The Dow Chemical Company,361.0955568,361.0955568,361.0955568,0.018178674,0.018178674,0.018178674,2,2,2,220.00000000000003,220.00000000000003,220.00000000000003,Other Basic Organic Chemicals,THE DOW CHEMICAL CO
19,32966,WILLOW ISLAND,PLEASANTS,54073,CHP and/or Cogeneration Process,1006142,325199,325199,2015,WV,260,Boiler 831 X,"OB (Boiler, other)",39.35537,-81.30658,Facility,POINT (-9051007.083742561 4772703.868076194),CYTEC INDUSTRIES INC,1836.5834506,1836.5834506,1836.5834506,0.092459324,0.092459324,0.092459324,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,CYTEC INDUSTRIES INC
20,32967,CARROLLTON,CARROLL,21041,CHP and/or Cogeneration Process,1002548,325199,325199,2015,KY,260,CP-NGBill,OCS (Other combustion source),38.7074,-85.1048,Facility,POINT (-9473823.000063388 4679845.376786535),DOW CORNING,485.25813496,485.25813496,485.25813496,0.024429403,0.024429403,0.024429403,4,4,4,220.0,220.0,220.0,Other Basic Organic Chemicals,Dow Corning Corporation 
21,32969,BELLE,Kanawha,54039,CHP and/or Cogeneration Process,1007916,325199,325199,2015,WV,260,No. 10 Boiler,"OB (Boiler, other)",38.2431,-81.556,Facility,POINT (-9078772.39113622 4613824.839404211),Dupont Belle Plant,352.695530635,352.695530635,352.695530635,0.01775578,0.01775578,0.01775578,4,4,4,220.0,220.0,220.0,Other Basic Organic Chemicals,E I DU PONT DE NEMOURS & CO
22,32974,ORANGE,ORANGE,48361,CHP and/or Cogeneration Process,1002212,325199,325199,2015,TX,260,ADN North Boiler,"OB (Boiler, other)",30.054167,-93.752208,Facility,POINT (-10436448.05530507 3510514.408217617),INVISTA ORANGE SITE,3401.686814,3401.686814,3401.686814,0.171251495,0.171251495,0.171251495,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,KOCH INDUSTRIES INC
23,32975,DEEPWATER,SALEM,34033,CHP and/or Cogeneration Process,1002618,325199,325199,2015,NJ,260,GP-001,OCS (Other combustion source),39.682362,-75.491379,Facility,POINT (-8403661.869562024 4819890.784267244),DUPONT CHAMBERS WORKS,147.90271346,147.90271346,147.90271346,0.007445883,0.007445883,0.007445883,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,E I DU PONT DE NEMOURS & CO
25,32988,KALAMA,COWLITZ,53015,CHP and/or Cogeneration Process,1003518,325199,325199,2015,WA,260,Boiler U-15 (EU13),"OB (Boiler, other)",46.02191,-122.85698,Facility,POINT (-13676376.45399939 5783861.00855974),EMERALD KALAMA CHEMICAL LLC,470.3785235,470.3785235,470.3785235,0.023680318,0.023680318,0.023680318,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,EMERALD PERFORMANCE MATERIALS LLC
26,32989,CALVERT CITY,MARSHALL,21157,CHP and/or Cogeneration Process,1005604,325199,325199,2015,KY,260,CP-Natural Gas Units,OCS (Other combustion source),37.047737,-88.35866,Facility,POINT (-9836041.03837599 4445762.79986238),ISP CHEMICALS LLC,393.3626445,393.3626445,393.3626445,0.019803099,0.019803099,0.019803099,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,ISP CHEMCO LLC
27,32999,Nederland,JEFFERSON COUNTY,48245,CHP and/or Cogeneration Process,1010636,325199,325199,2015,TX,260,CP-RFM-41,OCS (Other combustion source),30.006911,-94.029719,Facility,POINT (-10467340.4385146 3504438.219051541),OCI Beaumont LLC,585.56999984,585.56999984,585.56999984,0.029445015,0.029445015,0.029445015,6,6,6,220.0,220.0,220.0,Other Basic Organic Chemicals,Albiorix Inc.
28,33000,LUVERNE,ROCK,27133,CHP and/or Cogeneration Process,1005284,325199,325199,2015,MN,260,GP-1,OCS (Other combustion source),43.648333,-96.224444,Facility,POINT (-10711656.10794587 5411181.213135379),AGRI ENERGY LLC,447.2124905,447.2124905,447.2124905,0.022514068,0.022514068,0.022514068,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,Gevo
29,33005,STERLINGTON,OUACHITA,22073,CHP and/or Cogeneration Process,1002263,325199,325199,2015,LA,260,Boiler 7,S (Stoker Boiler),32.692737,-92.081484,Facility,POINT (-10250463.91036897 3854590.597597429),ANGUS CHEMICAL CO,343.2751247,343.2751247,343.2751247,0.017281538,0.017281538,0.017281538,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,THE DOW CHEMICAL CO
30,33010,CINCINNATI,Hamilton,39061,CHP and/or Cogeneration Process,1007325,325199,325199,2015,OH,260,GP-Process Heat,OCS (Other combustion source),39.1792,-84.5053,Facility,POINT (-9407086.965332821 4747373.037778951),"Emery Oleochemicals, LLC",810.473354,810.473354,810.473354,0.040801749,0.040801749,0.040801749,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,EMERY OLEOCHEMICALS LLC
31,33011,PASADENA,HARRIS,48201,CHP and/or Cogeneration Process,1006656,325199,325199,2015,TX,260,"Package Boiler, EPN P-25","OB (Boiler, other)",29.627167,-95.080194,Facility,POINT (-10584278.78060567 3455715.099719895),EQUISTAR CHEMICALS LIMITED PARTNERSHIP BAYPORT PLANT,286.99935288,286.99935288,286.99935288,0.01444844,0.01444844,0.01444844,2,2,2,220.0,220.0,220.0,Other Basic Organic Chemicals,Lyondell Chemical Company
32,33012,CROSBY,HARRIS COUNTY,48201,CHP and/or Cogeneration Process,1005467,325199,325199,2015,TX,260,GP-all combustion,OCS (Other combustion source),29.9222,-95.0544,Facility,POINT (-10581407.40566014 3493553.293801755),"KMCO, LLC",309.89736573100004,309.89736573100004,309.89736573100004,0.015601192,0.015601192,0.015601192,6,6,6,220.0,220.0,220.0,Other Basic Organic Chemicals,"KMCO, LLC"
33,33013,PORT ARTHUR,JEFFERSON,48245,CHP and/or Cogeneration Process,1005523,325199,325199,2015,TX,260,GP-Stack,OCS (Other combustion source),29.825641,-93.965034,Facility,POINT (-10460139.73725264 3481157.25089441),"KMTEX, LLC",836.6511873,836.6511873,836.6511873,0.042119623,0.042119623,0.042119623,1,1,1,220.0,220.0,220.0,Other Basic Organic Chemicals,"KMCO, LLC"
34,33014,CHICAGO,COOK,17031,CHP and/or Cogeneration Process,1001336,325199,325199,2015,IL,260,CP-Natural Gas for Boilers,OCS (Other combustion source),41.809983,-87.656351,Facility,POINT (-9757860.358116457 5132558.180487937),VANTAGE OLEOCHEMICALS,3983.660912,3983.660912,3983.660912,0.200549881,0.200549881,0.200549881,1,1,1,220.0,220.0,220.0,Other Basic Organic Chemicals,Vantage Oleochemicals Inc.
35,33015,Pasadena,HARRIS,48201,CHP and/or Cogeneration Process,1005947,325199,325199,2015,TX,260,GP-Dixie Chemical,OCS (Other combustion source),29.610174,-95.051893,Facility,POINT (-10581128.32769673 3453539.121007269),Dixie Chemical Company,292.5305435,292.5305435,778.3767260000001,0.014726898,0.014726898,0.039185906,2,2,3,220.0,220.0,457.18791066473887,Other Basic Organic Chemicals,Glencoe Capital 
36,33016,MC INTOSH,WASHINGTON,1129,CHP and/or Cogeneration Process,1003551,325199,325199,2015,AL,260,CP-100,OCS (Other combustion source),31.279,-87.9955,Facility,POINT (-9795614.252099505 3669035.858925119),BASF CORPORATION,14197.584775595,14197.584775595,37777.48955912,0.714750582,0.714750582,1.9018363280000004,8,8,12,220.0,220.0,457.1879106396667,Other Basic Organic Chemicals,BASF CORP
37,33017,Batesville,INDEPENDENCE COUNTY,5063,CHP and/or Cogeneration Process,1004274,325199,325199,2015,AR,260,GP-1 Aggregation of All FFCC Sources,OCS (Other combustion source),35.722342,-91.524983,Facility,POINT (-10188514.50242302 4262483.010854837),FutureFuel Chemical Company,446.4778633,446.4778633,1407.6470007,0.022477084,0.022477084,0.070865328,2,2,4,220.0,220.0,479.4714953609604,Other Basic Organic Chemicals,FUTUREFUEL CORP
38,33018,PASADENA,HARRIS COUNTY,48201,CHP and/or Cogeneration Process,1003402,325199,325199,2015,TX,260,GP-Pasadena,OCS (Other combustion source),29.742498,-95.165513,Facility,POINT (-10593776.44824066 3470493.119779862),ALBEMARLE CORPORATION HOUSTON PLANT,2963.52325387,2963.52325387,7885.45872884,0.149192979,0.149192979,0.3969785199999999,4,4,6,220.0,220.0,457.1879106599215,Other Basic Organic Chemicals,Albemarle Corporation
39,33019,ANNISTON,CALHOUN COUNTY,1015,CHP and/or Cogeneration Process,1000708,325199,325199,2015,AL,260,Plant Boiler,"OB (Boiler, other)",33.65007,-85.85466,Facility,POINT (-9557297.033429632 3981911.203001766),SOLUTIA INC ANNISTON PLANT,63.03568408,63.03568408,167.72781668,0.003173412,0.003173412,0.00844394,2,2,3,220.0,220.0,457.1879106010194,Other Basic Organic Chemicals,SOLUTIA INC
40,33020,LULING,SAINT CHARLES,22089,CHP and/or Cogeneration Process,1001989,325199,325199,2015,LA,260,CP-1,OCS (Other combustion source),29.92444,-90.352217,Facility,POINT (-10057962.78848336 3493841.002867021),MONSANTO CO - LULING PLANT,25166.230448487,25166.230448487,27286.28332163,1.266946281,1.266946281,1.3736763370000002,8,8,18,220.00000000000003,220.00000000000003,249.52472794840915,Other Basic Organic Chemicals,Monsanto Company
41,33021,PASADENA,HARRIS,48201,CHP and/or Cogeneration Process,1004732,325199,325199,2015,TX,260,CP-Americanacryl,OCS (Other combustion source),29.62132,-95.06676,Facility,POINT (-10582783.31456635 3454966.341342328),AMERICAN ACRYL PASADENA,1330.774289967,1330.774289967,3717.357790685,0.0669952939999999,0.0669952939999999,0.187143243,6,6,14,220.0,220.0,463.9640683889416,Other Basic Organic Chemicals,ARKEMA INC
43,33024,JACKSONVILLE,DUVAL,12031,CHP and/or Cogeneration Process,1007956,325199,325199,2015,FL,260,GP-5 combustion units at Facility,OCS (Other combustion source),30.34774,-81.7494,Facility,POINT (-9100301.580655638 3548327.350707611),IFF CHEMICAL HOLDINGS INC,685.5662469299999,685.5662469299999,1824.18151703,0.034513537,0.034513537,0.091834971,4,4,6,220.0,220.0,457.18791063207794,Other Basic Organic Chemicals,INTERNATIONAL FLAVORS & FRAGRANCES INC
44,33025,MEMPHIS,SHELBY COUNTY,47157,CHP and/or Cogeneration Process,1001214,325199,325199,2015,TN,260,CP- NG to SAR Furnaces and Preheaters,OCS (Other combustion source),35.2702,-89.97415,Facility,POINT (-10015876.56255762 4200661.140203759),LUCITE INTERNATIONAL INC,297.98374090000004,297.98374090000004,792.8868070000001,0.015001429,0.015001429,0.039916389,2,2,3,220.0,220.0,457.1879106294677,Other Basic Organic Chemicals,LUCITE INTERNATIONAL INC
45,33026,WILMINGTON,NEW HANOVER,37129,CHP and/or Cogeneration Process,1006573,325199,325199,2015,NC,260,GP-1,OCS (Other combustion source),34.31309,-77.9786,Facility,POINT (-8680538.044772362 4070920.241294013),INVISTA,661.39276913,661.39276913,1759.85978087,0.03329657,0.03329657,0.088596816,4,4,6,220.00000000000003,220.00000000000003,457.18791064981696,Other Basic Organic Chemicals,KOCH INDUSTRIES INC
46,33027,PASADENA,HARRIS COUNTY,48201,CHP and/or Cogeneration Process,1000619,325199,325199,2015,TX,260,CP-1,OCS (Other combustion source),29.63993,-95.05196,Facility,POINT (-10581135.78610261 3457349.66204699),LUBRIZOL BAYPORT PLANT,160.81183569799998,160.81183569799998,754.481152545,0.0080957829999999,0.0080957829999999,0.037982861,24,24,42,220.00000000000003,220.00000000000003,519.0059322766247,Other Basic Organic Chemicals,BERKSHIRE HATHAWAY
47,33028,NEWARK,NEW CASTLE COUNTY,10003,CHP and/or Cogeneration Process,1006673,325199,325199,2015,DE,260,CP-incoming gas line to plant,OCS (Other combustion source),39.685724,-75.72589,Facility,POINT (-8429767.514667448 4820377.098076324),FMC CORP,7452.981375339999,7452.981375339999,19831.18470751,0.375206264,0.375206264,0.998363521,6,6,9,220.0,220.0,457.1879106366914,Other Basic Organic Chemicals,FMC CORP
50,33031,NORTH CHARLESTON,CHARLESTON COUNTY,45019,CHP and/or Cogeneration Process,1007512,325199,325199,2015,SC,260,GP-CHASCHEM,OCS (Other combustion source),32.89778,-79.97299,Facility,POINT (-8902552.524015559 3881743.81469835),MEADWESTVACO SC LLC CHARLESTON CHEMICAL PLANT,414.7631251,414.7631251,1103.6179658,0.020880466,0.020880466,0.055559561,2,2,3,220.0,220.0,457.1879106518981,Other Basic Organic Chemicals,MEADWESTVACO CORP
51,33034,GREENSBORO,GUILFORD,37081,CHP and/or Cogeneration Process,1000704,325199,325199,2015,NC,260,GP-2,OCS (Other combustion source),36.0433,-79.7886,Facility,POINT (-8882026.323108189 4306581.022113139),EVONIK CORPORATION,195.56125311,195.56125311,625.45937758,0.009845162,0.009845162,0.03148757,2,2,6,220.0,220.0,481.18608682576695,Other Basic Organic Chemicals,Evonik Corporation
53,33036,MEMPHIS,SHELBY COUNTY,47157,CHP and/or Cogeneration Process,1005312,325199,325199,2015,TN,260,GP-Stationary Combustion Units,OCS (Other combustion source),35.16623,-89.95983,Facility,POINT (-10014282.46744946 4186494.145581847),PMC BIOGENIX INC,163.294379536,163.294379536,434.500079808,0.008220748,0.008220748,0.0218740459999999,4,4,6,220.0,220.0,457.1879106418118,Other Basic Organic Chemicals,PMC GROUP
54,33037,CONROE,MONTGOMERY,48339,CHP and/or Cogeneration Process,1002993,325199,325199,2015,TX,260,GP-100,OCS (Other combustion source),30.316109,-95.387684,Facility,POINT (-10618508.41082969 3544247.767171063),HUNTSMAN PETROCHEMICAL LLC,3653.490062,3653.490062,9721.34943,0.183928053,0.183928053,0.4894029669999999,2,2,3,220.00000000000003,220.00000000000003,457.18791063351375,Other Basic Organic Chemicals,Huntsman Petrochemical LLC
55,33038,SAINT GABRIEL,IBERVILLE,22047,CHP and/or Cogeneration Process,1004985,325199,325199,2015,LA,260,GP-1,OCS (Other combustion source),30.250833,-91.092278,Facility,POINT (-10140346.00215932 3535833.006080237),"TAMINCO, INC",844.1013849000001,844.1013849000001,2246.0180209,0.042494689,0.042494689,0.113071533,2,2,3,220.0,220.0,457.1879106591188,Other Basic Organic Chemicals,Taminco US Inc.
56,33039,Seneca,LA SALLE,17099,CHP and/or Cogeneration Process,1010538,325199,325199,2015,IL,260,CP-REG Seneca Natural Gas,OCS (Other combustion source),41.305813,-88.591058,Facility,POINT (-9861911.465397365 5057554.195607701),"REG Seneca, LLC",169.667343449,169.667343449,451.4575118080001,0.008541567,0.008541567,0.022727761,4,4,6,220.0,220.0,457.1879106576037,Other Basic Organic Chemicals,"Renewable Energy Group, Inc."
57,33042,GEISMAR,ASCENSION PARISH,22005,CHP and/or Cogeneration Process,1004900,325199,325199,2015,LA,260,BLR-1,"OB (Boiler, other)",30.209722,-91.013889,Facility,POINT (-10131619.77859552 3530536.236637869),WESTLAKE VINYLS CO LP,1509.6337921999998,1509.6337921999998,4016.8927126,0.075999661,0.075999661,0.2022228729999999,4,4,6,220.00000000000003,220.00000000000003,457.1879106363564,Other Basic Organic Chemicals,Westlake Chemcial Company
58,33047,NORCO,ST. CHARLES PARISH,22089,CHP and/or Cogeneration Process,1005744,325199,325199,2015,LA,260,GP-HexionNorco,OCS (Other combustion source),29.99891,-90.423054,Facility,POINT (-10065848.32725268 3503409.734937025),HEXION INC.,1508.4345157,1508.4345157,5489.5364777,0.075939286,0.075939286,0.276360342,2,2,4,220.0,220.0,495.58223753598935,Other Basic Organic Chemicals,MOMENTIVE PERFORMANCE MATERIALS HOLDINGS LLC
60,33050,HOUSTON,HARRIS COUNTY,48201,CHP and/or Cogeneration Process,1004018,325199,325199,2015,TX,260,GP-Heaters-Boilers,OCS (Other combustion source),29.7551,-95.09824,Facility,POINT (-10586287.65213652 3472108.914915753),JOHANN HALTERMANN,1459.5078868,1459.5078868,3883.51574065,0.073476167,0.073476167,0.195508262,10,10,15,220.0,220.0,457.1879106401735,Other Basic Organic Chemicals,Monument Chemical Inc.
61,33051,FRIENDLY,TYLER COUNTY,54095,CHP and/or Cogeneration Process,1003940,325199,325199,2015,WV,260,CP-1,OCS (Other combustion source),39.484572,-81.093403,Facility,POINT (-9027276.328653723 4791321.96424454),MPM SILICONES LLC,4433.7544094,4433.7544094,11797.5073604,0.223208988,0.223208988,0.593923215,4,4,6,220.0,220.0,457.1879106236153,Other Basic Organic Chemicals,MOMENTIVE PERFORMANCE MATERIALS INC.
63,33053,JACKSONVILLE,DUVAL COUNTY,12031,CHP and/or Cogeneration Process,1007064,325199,325199,2015,FL,260,GP-01,OCS (Other combustion source),30.380131,-81.664313,Facility,POINT (-9090829.739142511 3552506.321388432),Renessenz LLC JACKSONVILLE,204.20196511,204.20196511,543.34858541,0.0102801619999999,0.0102801619999999,0.027353858,2,2,3,220.0,220.0,457.1879106241768,Other Basic Organic Chemicals,"Pinova Holdings, Inc."
64,33054,LA PORTE,HARRIS,48201,CHP and/or Cogeneration Process,1002003,325199,325199,2015,TX,260,GP-LPTCOMBUSTION,OCS (Other combustion source),29.700264,-95.036967,Facility,POINT (-10579466.77297715 3465079.467698467),E I DU PONT DE NEMOURS LA PORTE PLANT,1414.6424131999995,1414.6424131999995,3764.135932,0.071217499,0.071217499,0.18949831,4,4,6,220.00000000000003,220.00000000000003,457.1879106580575,Other Basic Organic Chemicals,E. I. DuPont de Nemours and Company
65,33056,TEXAS CITY,GALVESTON COUNTY,48167,CHP and/or Cogeneration Process,1000022,325199,325199,2015,TX,260,GP-Htr,OCS (Other combustion source),29.42807,-94.995369,Facility,POINT (-10574836.10479913 3430243.394612808),ISP TECHNOLOGIES TEXAS CITY PLANT,43825.781395748,43825.781395748,51461.677636514,2.206326158,2.206326158,2.5907409249999995,9,9,12,220.00000000000003,220.00000000000003,276.3844923981308,Other Basic Organic Chemicals,ASHLAND INC
66,33058,PAINESVILLE,LAKE COUNTY,39085,CHP and/or Cogeneration Process,1000618,325199,325199,2015,OH,260,CP- Credit Union Natural Gas Meter,OCS (Other combustion source),41.720278,-81.273611,Facility,POINT (-9047336.991450597 5119170.105436564),LUBRIZOL CORPORATION,262.10113793,262.10113793,697.40897193,0.0131949869999999,0.0131949869999999,0.035109737,2,2,3,220.0,220.0,457.18791064908055,Other Basic Organic Chemicals,BERKSHIRE HATHAWAY
67,33059,MUSCATINE,MUSCATINE COUNTY,19139,CHP and/or Cogeneration Process,1002246,325199,325199,2015,IA,260,CP-1,OCS (Other combustion source),41.34852,-91.0811,Facility,POINT (-10139101.67289123 5063884.996232945),MONSANTO CO,9411.871607,9411.871607,25043.476547,0.473822891,0.473822891,1.260766504,2,2,3,220.00000000000003,220.00000000000003,457.1879106342192,Other Basic Organic Chemicals,MONSANTO CO
68,33060,BORGER,Hutchinson,48233,CHP and/or Cogeneration Process,1007425,325199,325199,2015,TX,260,GP-1,OCS (Other combustion source),35.698244,-101.357744,Facility,POINT (-11283092.45003498 4259179.257705748),CHEVRON PHILLIPS CHEMICAL CO LP,374.3856446,374.3856446,996.1799845,0.018847738,0.018847738,0.050150799,2,2,3,220.0,220.0,457.1879106571228,Other Basic Organic Chemicals,Chevron Phillips Chemical Company LP
69,33061,MORRIS,GRUNDY,17063,CHP and/or Cogeneration Process,1007343,325199,325199,2015,IL,260,GP-001 (Sum of all combustion units),OCS (Other combustion source),41.406491,-88.336066,Facility,POINT (-9833525.885801006 5072485.149966527),AKZO NOBEL SURFACE CHEMISTRY LLC,327.35018260000004,327.35018260000004,871.0261852,0.016479827,0.016479827,0.043850168,2,2,3,220.0,220.0,457.1879106488198,Other Basic Organic Chemicals,"Akzo Nobel Chemicals, Inc."
70,33065,MAPLETON,PEORIA,17143,CHP and/or Cogeneration Process,1005465,325199,325199,2015,IL,260,D-Boiler,"OB (Boiler, other)",40.564739,-89.724506,Facility,POINT (-9988086.319598021 4948351.207718161),EVONIK CORPORATION,58.91050311,58.91050311,156.75137367000002,0.002965738,0.002965738,0.007891352,2,2,3,220.0,220.0,457.1879106531596,Other Basic Organic Chemicals,EVONIK Corporation
71,33066,CHATTANOOGA,HAMILTON COUNTY,47065,CHP and/or Cogeneration Process,1004339,325199,325199,2015,TN,260,CP- 1,OCS (Other combustion source),35.07592,-85.277367,Facility,POINT (-9493033.070631111 4174203.161020641),NA INDUSTRIES INC,960.3988554,960.3988554,2555.4668844,0.048349465,0.048349465,0.128650151,2,2,3,220.0,220.0,457.1879106397862,Other Basic Organic Chemicals,"NA Industries, Inc."
